id,sku,name,slug,category,category_id,description,short_description,price,cost_price,compare_at_price,profit_margin,stock_quantity,low_stock_threshold,stock,is_in_stock,status,product_type,visibility,published_at,created_at,updated_at,track_inventory,allow_backorders,is_featured,is_bestseller,weight,dimensions,brand,tags,meta_title,meta_description,meta_keywords,features,image_url,featured_image_url,gallery,gallery_images,average_rating,review_count,sales_count,total_sold,total_revenue,is_digital,digital_file_url,digital_file_type,digital_file_size,download_limit,download_expiry_days,file_path,video_url
,Cement,Cement,cement,Cement & Binders,,Cement for construction,50kg cement bag,870,0,0,0,0,20,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,50,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""construction"", ""building""}",Cement,High quality construction cement,"{""cement"", ""construction"", ""building""}","{""Durable"", ""Water resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Putty 25kg,Putty 25kg,putty-25kg,Cement & Binders,,Wall putty for finishing,25kg wall putty,4500,0,0,0,0,1,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,25,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""finishing"", ""walls""}",Putty 25kg,Wall finishing putty,"{""putty"", ""wall"", ""finishing""}","{""Smooth finish"", ""Easy application""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Tile grout,Tile grout,tile-grout,Cement & Binders,,Tile grout for tile installation,Tile grout,150,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""tiles"", ""grout""}",Tile grout,Tile installation grout,"{""tile"", ""grout"", ""installation""}","{""Water resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Water proof cement 1kg,Water proof cement 1kg,water-proof-cement-1kg,Cement & Binders,,Waterproof cement for sealing,1kg waterproof cement,100,0,0,0,0,10,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""waterproof"", ""sealing""}",Water proof cement 1kg,Waterproof sealing cement,"{""waterproof"", ""cement"", ""sealing""}","{""Waterproof"", ""Sealing""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Polyfillers 2.5kg,Polyfillers 2.5kg,polyfillers-2-5kg,Cement & Binders,,Polyfiller for wall repairs,2.5kg polyfiller,350,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,2.5,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""repair"", ""filler""}",Polyfillers 2.5kg,Wall repair polyfiller,"{""polyfiller"", ""repair"", ""wall""}","{""Quick drying"", ""Easy to sand""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Polyfillers 1kg,Polyfillers 1kg,polyfillers-1kg,Cement & Binders,,Polyfiller for small repairs,1kg polyfiller,150,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""repair"", ""filler""}",Polyfillers 1kg,Small repair polyfiller,"{""polyfiller"", ""repair"", ""small""}","{""Quick drying"", ""Easy to sand""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Polyfillers 500grams,Polyfillers 500grams,polyfillers-500grams,Cement & Binders,,Polyfiller for minor repairs,500g polyfiller,100,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,0.5,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""repair"", ""filler""}",Polyfillers 500grams,Minor repair polyfiller,"{""polyfiller"", ""repair"", ""minor""}","{""Quick drying"", ""Easy to sand""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Reinforcement bars Y-10,Reinforcement bars Y-10,reinforcement-bars-y-10,Steel & Reinforcement,,Y-10 reinforcement steel bars,Reinforcement bars Y-10,1000,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,10,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""steel"", ""rebar"", ""construction""}",Reinforcement bars Y-10,Construction reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""High tensile strength"", ""Corrosion resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Reinforcement bars Y-12,Reinforcement bars Y-12,reinforcement-bars-y-12,Steel & Reinforcement,,Y-12 reinforcement steel bars,Reinforcement bars Y-12,1400,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,12,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""steel"", ""rebar"", ""construction""}",Reinforcement bars Y-12,Heavy duty reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""High tensile strength"", ""Corrosion resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Reinforcement bars R-6,Reinforcement bars R-6,reinforcement-bars-r-6,Steel & Reinforcement,,R-6 reinforcement steel bars,Reinforcement bars R-6,300,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,6,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""steel"", ""rebar"", ""construction""}",Reinforcement bars R-6,Light reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""Flexible"", ""Corrosion resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
