average_rating,track_inventory,allow_backorders,is_in_stock,digital_file_size,download_limit,download_expiry_days,weight,dimensions,gallery_images,category_id,is_featured,is_bestseller,total_sold,total_revenue,id,review_count,created_at,updated_at,published_at,sales_count,stock,is_digital,price,compare_at_price,cost_price,profit_margin,stock_quantity,low_stock_threshold,sku,name,slug,description,short_description,featured_image_url,file_path,video_url,gallery,tags,brand,status,image_url,category,product_type,digital_file_url,visibility,digital_file_type,meta_title,meta_description,meta_keywords,features
0,true,false,false,,,,50,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,870,0,0,0,0,20,17,Cement,cement,Cement for construction,50kg cement bag,,,,,"{""construction"", ""building""}",,Out of Stock,,Cement & Binders,Product,,published,,Cement,High quality construction cement,"{""cement"", ""construction"", ""building""}","{""Durable"", ""Water resistant""}"
0,true,false,false,,,,25,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,4500,0,0,0,0,1,167,Putty 25kg,putty-25kg,Wall putty for finishing,25kg wall putty,,,,,"{""finishing"", ""walls""}",,Out of Stock,,Cement & Binders,Product,,published,,Putty 25kg,Wall finishing putty,"{""putty"", ""wall"", ""finishing""}","{""Smooth finish"", ""Easy application""}"
0,true,false,false,,,,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,150,0,0,0,0,5,182,Tile grout,tile-grout,Tile grout for tile installation,Tile grout,,,,,"{""tiles"", ""grout""}",,Out of Stock,,Cement & Binders,Product,,published,,Tile grout,Tile installation grout,"{""tile"", ""grout"", ""installation""}","{""Water resistant"", ""Durable""}"
0,true,false,false,,,,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,100,0,0,0,0,10,188,Water proof cement 1kg,water-proof-cement-1kg,Waterproof cement for sealing,1kg waterproof cement,,,,,"{""waterproof"", ""sealing""}",,Out of Stock,,Cement & Binders,Product,,published,,Water proof cement 1kg,Waterproof sealing cement,"{""waterproof"", ""cement"", ""sealing""}","{""Waterproof"", ""Sealing""}"
0,true,false,false,,,,2.5,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,350,0,0,0,0,3,139,Polyfillers 2.5kg,polyfillers-2-5kg,Polyfiller for wall repairs,2.5kg polyfiller,,,,,"{""repair"", ""filler""}",,Out of Stock,,Cement & Binders,Product,,published,,Polyfillers 2.5kg,Wall repair polyfiller,"{""polyfiller"", ""repair"", ""wall""}","{""Quick drying"", ""Easy to sand""}"
0,true,false,false,,,,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,150,0,0,0,0,5,164,Polyfillers 1kg,polyfillers-1kg,Polyfiller for small repairs,1kg polyfiller,,,,,"{""repair"", ""filler""}",,Out of Stock,,Cement & Binders,Product,,published,,Polyfillers 1kg,Small repair polyfiller,"{""polyfiller"", ""repair"", ""small""}","{""Quick drying"", ""Easy to sand""}"
0,true,false,false,,,,0.5,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,100,0,0,0,0,5,165,Polyfillers 500grams,polyfillers-500grams,Polyfiller for minor repairs,500g polyfiller,,,,,"{""repair"", ""filler""}",,Out of Stock,,Cement & Binders,Product,,published,,Polyfillers 500grams,Minor repair polyfiller,"{""polyfiller"", ""repair"", ""minor""}","{""Quick drying"", ""Easy to sand""}"
0,true,false,false,,,,10,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,1000,0,0,0,0,3,148,Reinforcement bars Y-10,reinforcement-bars-y-10,Y-10 reinforcement steel bars,Reinforcement bars Y-10,,,,,"{""steel"", ""rebar"", ""construction""}",,Out of Stock,,Steel & Reinforcement,Product,,published,,Reinforcement bars Y-10,Construction reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""High tensile strength"", ""Corrosion resistant""}"
0,true,false,false,,,,12,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,1400,0,0,0,0,3,149,Reinforcement bars Y-12,reinforcement-bars-y-12,Y-12 reinforcement steel bars,Reinforcement bars Y-12,,,,,"{""steel"", ""rebar"", ""construction""}",,Out of Stock,,Steel & Reinforcement,Product,,published,,Reinforcement bars Y-12,Heavy duty reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""High tensile strength"", ""Corrosion resistant""}"
0,true,false,false,,,,6,"{""length"": 0, ""width"": 0, ""height"": 0}",,,false,false,0,0,,0,2024-01-01,2024-01-01,2024-01-01,0,0,false,300,0,0,0,0,5,175,Reinforcement bars R-6,reinforcement-bars-r-6,R-6 reinforcement steel bars,Reinforcement bars R-6,,,,,"{""steel"", ""rebar"", ""construction""}",,Out of Stock,,Steel & Reinforcement,Product,,published,,Reinforcement bars R-6,Light reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""Flexible"", ""Corrosion resistant""}"
